GSM525678	Prostate tumor PCA0104 (aCGH)
GSM525679	Prostate tumor PCA0105 (aCGH)
GSM525680	Prostate tumor PCA0106 (aCGH)
GSM525681	Prostate tumor PCA0107 (aCGH)
GSM525682	Prostate tumor PCA0108 (aCGH)
GSM525683	Prostate tumor PCA0109 (aCGH)
GSM525684	Prostate tumor PCA0110 (aCGH)
GSM525685	Prostate tumor PCA0111 (aCGH)
GSM525686	Prostate tumor PCA0112 (aCGH)
GSM525687	Prostate tumor PCA0113 (aCGH)
GSM525688	Prostate tumor PCA0114 (aCGH)
GSM525689	Prostate tumor PCA0115 (aCGH)
GSM525690	Prostate tumor PCA0116 (aCGH)
GSM525691	Prostate tumor PCA0117 (aCGH)
GSM525692	Prostate tumor PCA0118 (aCGH)
GSM525693	Prostate tumor PCA0119 (aCGH)
GSM525694	Prostate tumor PCA0120 (aCGH)
GSM525695	Prostate tumor PCA0121 (aCGH)
GSM525696	Prostate tumor PCA0122 (aCGH)
GSM525697	Prostate tumor PCA0123 (aCGH)
GSM525698	Prostate tumor PCA0124 (aCGH)
GSM525699	Prostate tumor PCA0125 (aCGH)
GSM525700	Prostate tumor PCA0126 (aCGH)
GSM525701	Prostate tumor PCA0127 (aCGH)
GSM525702	Prostate tumor PCA0128 (aCGH)
GSM525703	Prostate tumor PCA0129 (aCGH)
GSM525704	Prostate tumor PCA0130 (aCGH)
GSM525705	Prostate tumor PCA0131 (aCGH)
GSM525706	Prostate tumor PCA0132 (aCGH)
GSM525707	Prostate tumor PCA0133 (aCGH)
GSM525708	Prostate tumor PCA0134 (aCGH)
GSM525709	Prostate tumor PCA0135 (aCGH)
GSM525710	Prostate tumor PCA0136 (aCGH)
GSM525711	Prostate tumor PCA0137 (aCGH)
GSM525712	Prostate tumor PCA0138 (aCGH)
GSM525713	Prostate tumor PCA0139 (aCGH)
GSM525714	Prostate tumor PCA0140 (aCGH)
GSM525715	Prostate tumor PCA0141 (aCGH)
GSM525716	Prostate tumor PCA0142 (aCGH)
GSM525717	Prostate tumor PCA0143 (aCGH)
GSM525718	Prostate tumor PCA0144 (aCGH)
GSM525719	Prostate tumor PCA0145 (aCGH)
GSM525720	Prostate tumor PCA0146 (aCGH)
GSM525721	Prostate tumor PCA0147 (aCGH)
GSM525722	Prostate tumor PCA0148 (aCGH)
GSM525723	Prostate tumor PCA0149 (aCGH)
GSM525724	Prostate tumor PCA0150 (aCGH)
GSM525725	Prostate tumor PCA0151 (aCGH)
GSM525726	Prostate tumor PCA0152 (aCGH)
GSM525727	Prostate tumor PCA0153 (aCGH)
GSM525728	Prostate tumor PCA0154 (aCGH)
GSM525729	Prostate tumor PCA0155 (aCGH)
GSM525730	Prostate tumor PCA0156 (aCGH)
GSM525731	Prostate tumor PCA0157 (aCGH)
GSM525732	Prostate tumor PCA0158 (aCGH)
GSM525733	Prostate tumor PCA0159 (aCGH)
GSM525734	Prostate tumor PCA0160 (aCGH)
GSM525735	Prostate tumor PCA0161 (aCGH)
GSM525736	Prostate tumor PCA0162 (aCGH)
GSM525737	Prostate tumor PCA0163 (aCGH)
GSM525738	Prostate tumor PCA0164 (aCGH)
GSM525739	Prostate tumor PCA0165 (aCGH)
GSM525740	Prostate tumor PCA0166 (aCGH)
GSM525741	Prostate tumor PCA0167 (aCGH)
GSM525742	Prostate tumor PCA0168 (aCGH)
GSM525743	Prostate tumor PCA0169 (aCGH)
GSM525744	Prostate tumor PCA0170 (aCGH)
GSM525745	Prostate tumor PCA0171 (aCGH)
GSM525746	Prostate tumor PCA0172 (aCGH)
GSM525747	Prostate tumor PCA0173 (aCGH)
GSM525748	Prostate tumor PCA0174 (aCGH)
GSM525749	Prostate tumor PCA0175 (aCGH)
GSM525750	Prostate tumor PCA0176 (aCGH)
GSM525751	Prostate tumor PCA0177 (aCGH)
GSM525752	Prostate tumor PCA0178 (aCGH)
GSM525753	Prostate tumor PCA0179 (aCGH)
GSM525754	Prostate tumor PCA0180 (aCGH)
GSM525755	Prostate tumor PCA0181 (aCGH)
GSM525756	Prostate tumor PCA0182 (aCGH)
GSM525757	Prostate tumor PCA0183 (aCGH)
GSM525758	Prostate tumor PCA0184 (aCGH)
GSM525759	Prostate tumor PCA0185 (aCGH)
GSM525760	Prostate tumor PCA0186 (aCGH)
GSM525761	Prostate tumor PCA0187 (aCGH)
GSM525762	Prostate tumor PCA0188 (aCGH)
GSM525763	Prostate tumor PCA0189 (aCGH)
GSM525764	Prostate tumor PCA0190 (aCGH)
GSM525765	Prostate tumor PCA0191 (aCGH)
GSM525766	Prostate tumor PCA0192 (aCGH)
GSM525767	Prostate tumor PCA0193 (aCGH)
GSM525768	Prostate tumor PCA0194 (aCGH)
GSM525769	Prostate tumor PCA0195 (aCGH)
GSM525770	Prostate tumor PCA0196 (aCGH)
GSM525771	Prostate tumor PCA0197 (aCGH)
GSM525772	Prostate tumor PCA0198 (aCGH)
GSM525773	Prostate tumor PCA0199 (aCGH)
GSM525774	Prostate tumor PCA0200 (aCGH)
GSM525775	Prostate tumor PCA0201 (aCGH)
GSM525776	Prostate tumor PCA0202 (aCGH)
GSM525777	Prostate tumor PCA0203 (aCGH)
GSM525778	Prostate tumor PCA0204 (aCGH)
GSM525779	Prostate tumor PCA0205 (aCGH)
GSM525780	Prostate tumor PCA0206 (aCGH)
GSM525781	Prostate tumor PCA0207 (aCGH)
GSM525782	Prostate tumor PCA0208 (aCGH)
GSM525783	Prostate tumor PCA0209 (aCGH)
GSM525784	Prostate tumor PCA0210 (aCGH)
GSM525785	Prostate tumor PCA0211 (aCGH)
GSM525786	Prostate tumor PCA0212 (aCGH)
GSM525787	Prostate tumor PCA0213 (aCGH)
GSM525788	Prostate tumor PCA0214 (aCGH)
GSM525789	Prostate tumor PCA0215 (aCGH)
GSM525790	Prostate tumor PCA0216 (aCGH)
GSM525791	Prostate tumor PCA0217 (aCGH)
GSM525792	Prostate tumor PCA0218 (aCGH)
GSM525793	Cell line CWR22Rv1 (aCGH)
GSM525794	Cell line DU145 (aCGH)
GSM525795	Xenograft LAPC3-1 (aCGH)
GSM525796	Xenograft LAPC3-2 (aCGH)
